epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,71.8248,0.57326,2.19542,0.70035,0.92886,0.932,0.91858,0.69226,0.90854,0.74093,1.19218,0.00128046,0.00128046,0.00128046
107,72.4655,0.80688,0.80181,1.05018,0.93021,0.93333,0.91155,0.70543,0.87613,0.78446,1.18381,0.00127904,0.00127904,0.00127904
108,73.1179,0.79825,0.8243,1.02136,0.93409,0.91815,0.91455,0.7098,0.84976,0.75688,1.16382,0.00127763,0.00127763,0.00127763
109,73.7533,1.04246,1.00282,1.31796,0.93409,0.91815,0.91455,0.7098,0.84976,0.75688,1.16382,0.00127621,0.00127621,0.00127621
110,74.4151,0.72265,0.76691,0.9966,0.88878,0.86667,0.90429,0.72777,0.80578,0.7338,1.13169,0.0012748,0.0012748,0.0012748
111,75.0621,1.0916,1.13074,1.25953,0.99336,0.81557,0.90802,0.72942,0.75108,0.67776,1.09377,0.00127338,0.00127338,0.00127338
112,75.713,0.97215,0.82809,1.05025,0.9574,0.8558,0.91588,0.70651,0.78569,0.76904,1.08664,0.00127197,0.00127197,0.00127197
113,76.3415,0.73796,0.66529,0.95224,0.9574,0.8558,0.91588,0.70651,0.78569,0.76904,1.08664,0.00127055,0.00127055,0.00127055
114,76.9972,0.80224,0.79192,1.05908,0.95588,0.88774,0.91865,0.70242,0.86392,0.84523,1.13696,0.00126914,0.00126914,0.00126914
115,77.7982,0.80906,0.83718,1.14746,0.93103,0.84505,0.89323,0.73103,0.8367,0.87748,1.15353,0.00126772,0.00126772,0.00126772
116,78.4529,0.87874,0.80326,1.08966,0.91435,0.85404,0.89373,0.74131,0.8082,0.89022,1.14323,0.00126631,0.00126631,0.00126631
117,79.1143,0.8073,0.92857,1.05335,0.91435,0.85404,0.89373,0.74131,0.8082,0.89022,1.14323,0.00126489,0.00126489,0.00126489
118,79.7857,1.04655,1.0779,1.12175,0.93094,0.8449,0.89088,0.69692,0.81671,0.81198,1.13666,0.00126348,0.00126348,0.00126348
